        47   -2.021792   -0.134271   -0.158368    0.978208   -0.134271   -0.158368        0.7399597728       -1.1869540543        0.0005065460
        48   -2.035590   -0.087011   -0.249686    0.964410   -0.087011   -0.249686        0.7465646301       -1.1995323890        0.0004014311
        49   -2.039700   -0.080913   -0.266977    0.960300   -0.080913   -0.266977        0.7503272038       -1.2061620286        0.0004010604
        50   -2.032951   -0.108635   -0.230248    0.967049   -0.108635   -0.230248        0.7457746467       -1.1978882902        0.0004013611
        51   -2.034822   -0.071414   -0.251656    0.965178   -0.071414   -0.251656        0.7468487246       -1.1998790688        0.0004009970
        52   -2.037835   -0.118098   -0.245541    0.962165   -0.118098   -0.245541        0.7494028530       -1.2044127799        0.0003996967
        53   -2.039306   -0.133579   -0.243360    0.960694   -0.133579   -0.243360        0.7502180921       -1.2059320230        0.0003992644
        54   -2.034314   -0.124153   -0.228114    0.965686   -0.124153   -0.228114        0.7463946044       -1.1990786044        0.0003993280
        55   -2.040581   -0.096482   -0.264967    0.959419   -0.096482   -0.264967        0.7510156751       -1.2073940863        0.0003996275
        56   -2.028403   -0.099127   -0.214880    0.971597   -0.099127   -0.214880        0.7432068861       -1.1931148225        0.0003999499
        57   -2.029650   -0.114665   -0.212775    0.970350   -0.114665   -0.212775        0.7430816923       -1.1930924511        0.0003995179
        58   -2.025329   -0.105149   -0.197382    0.974671   -0.105149   -0.197382        0.7409594585       -1.1890666518        0.0003995806
        59   -2.030935   -0.077501   -0.234323    0.969065   -0.077501   -0.234323        0.7438154585       -1.1944532867        0.0003998807
        60   -2.043331   -0.043567   -0.287901    0.956669   -0.043567   -0.287901        0.7517756901       -1.2090029578        0.0004011523
        61   -2.043621   -0.059188   -0.286071    0.956379   -0.059188   -0.286071        0.7520985507       -1.2095634601        0.0004007190
        62   -2.038642   -0.049696   -0.270777    0.961358   -0.049696   -0.270777        0.7476653359       -1.2017324606        0.0004007823
        63   -2.048424   -0.021792   -0.306642    0.951576   -0.021792   -0.306642        0.7543037195       -1.2137848865        0.0004010824
        64   -2.010654   -0.145584    0.000000    0.989346   -0.145584    0.000000        0.7344088486       -1.1764424563        0.0002933626
        65   -2.013224   -0.160995   -0.018784    0.986776   -0.160995   -0.018784        0.7355941179       -1.1787159731        0.0002934821
        66   -2.012224   -0.155881    0.000000    0.987776   -0.155881    0.000000        0.7353244673       -1.1781386291        0.0002935697
        67   -2.018750   -0.191821   -0.018777    0.981250   -0.191821   -0.018777        0.7385270722       -1.1842188957        0.0002939602
        68   -2.016385   -0.176326   -0.037556    0.983615   -0.176326   -0.037556        0.7356532088       -1.1792688698        0.0002938407
        69   -2.020132   -0.191543   -0.056300    0.979868   -0.191543   -0.056300        0.7390562453       -1.1852671480        0.0002939600
        70   -2.018280   -0.186591   -0.037550    0.981720   -0.186591   -0.037550        0.7377930467       -1.1829744257        0.0002940480
        71   -2.014957   -0.171283   -0.018784    0.985043   -0.171283   -0.018784        0.7365542985       -1.1805065226        0.0002943117
